title,price_gbp,star_rating,availability,category,rating,in_stock,price_inr
It's Only the Himalayas,45.17,Two,In stock,Travel,2,True,4765.435
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,In stock,Travel,4,True,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,In stock,Travel,3,True,5155.785
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,In stock,Travel,2,True,3897.1699999999996
Under the Tuscan Sun,37.33,Three,In stock,Travel,3,True,3938.3149999999996
A Summer In Europe,44.34,Two,In stock,Travel,2,True,4677.870000000001
The Great Railway Bazaar,30.54,One,In stock,Travel,1,True,3221.97
A Year in Provence (Provence #1),56.88,Four,In stock,Travel,4,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,In stock,Travel,1,True,2448.655
Neither Here nor There: Travels in Europe,38.95,Three,In stock,Travel,3,True,4109.225
"1,000 Places to See Before You Die",26.08,Five,In stock,Travel,5,True,2751.4399999999996
Sharp Objects,47.82,Four,In stock,Mystery,4,True,5045.01
"In a Dark, Dark Wood",19.63,One,In stock,Mystery,1,True,2070.9649999999997
The Past Never Ends,56.5,Four,In stock,Mystery,4,True,5960.75
A Murder in Time,16.64,One,In stock,Mystery,1,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,In stock,Mystery,4,True,4652.55
The Last Mile (Amos Decker #2),54.21,Two,In stock,Mystery,2,True,5719.155
That Darkness (Gardiner and Renner #1),13.92,One,In stock,Mystery,1,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,One,In stock,Mystery,1,True,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,Five,In stock,Mystery,5,True,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,In stock,Mystery,2,True,1765.015
Poisonous (Max Revere Novels #3),26.8,Three,In stock,Mystery,3,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,In stock,Mystery,4,True,5734.98
Most Wanted,35.28,Three,In stock,Mystery,3,True,3722.04
Hide Away (Eve Duncan #20),11.84,One,In stock,Mystery,1,True,1249.12
Boar Island (Anna Pigeon #19),59.48,Three,In stock,Mystery,3,True,6275.139999999999
The Widow,27.26,Two,In stock,Mystery,2,True,2875.9300000000003
Playing with Fire,13.71,Three,In stock,Mystery,3,True,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,In stock,Mystery,5,True,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,In stock,Mystery,5,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,In stock,Mystery,4,True,2203.895
Tipping the Velvet,53.74,One,In stock,Historical Fiction,1,True,5669.570000000001
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,In stock,Historical Fiction,3,True,3132.295
A Flight of Arrows (The Pathfinders #2),55.53,Five,In stock,Historical Fiction,5,True,5858.415
The House by the Lake,36.95,One,In stock,Historical Fiction,1,True,3898.2250000000004
Mrs. Houdini,30.25,Five,In stock,Historical Fiction,5,True,3191.375
The Marriage of Opposites,28.08,Four,In stock,Historical Fiction,4,True,2962.4399999999996
Glory over Everything: Beyond The Kitchen House,45.84,Three,In stock,Historical Fiction,3,True,4836.120000000001
"Love, Lies and Spies",20.55,Two,In stock,Historical Fiction,2,True,2168.025
A Paris Apartment,39.01,Four,In stock,Historical Fiction,4,True,4115.554999999999
